"""Wir zählen, weil jeder zählt.""";3/29/25;4/5/25;4/12/25;4/19/25;4/26/25;5/3/25;5/10/25;5/17/25;5/24/25;5/31/25;6/7/25;6/14/25;6/21/25;6/28/25;7/5/25;7/12/25;7/19/25;7/26/25;8/2/25;8/9/25;8/16/25;8/23/25;8/30/25;9/6/25;9/13/25;9/20/25;9/27/25;10/4/25;10/11/25;10/18/25;10/25/25;11/1/25;11/8/25;11/15/25;11/22/25;11/29/25;12/6/25;12/13/25;12/20/25;12/27/25;1/3/26;1/10/26;1/17/26;1/24/26;1/31/26;2/7/26;2/14/26;2/21/26;2/28/26;3/7/26;3/14/26;3/21/26;3/28/26;4/4/26;4/11/26;4/18/26;4/25/26;5/2/26;5/9/26
Besucher gesamt;34;8;8;33;4;6;6;9;25;5;6;6;6;29;7;4;12;9;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Teilnehmer;20;4;5;22;2;4;4;7;15;3;4;3;3;20;4;1;7;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kids;4;0;0;7;0;0;0;0;6;0;0;0;0;3;0;0;2;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mitarbeiter;10;4;3;4;2;2;2;2;4;2;2;3;3;6;3;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
     Erstbesucher bei FF;10;5;2;6;0;0;0;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
     Erstbesucher bei RL;10;1;2;6;0;0;0;0;5;0;0;0;0;4;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
     VIPs;5;1;1;4;0;0;0;0;4;0;0;0;0;3;0;0;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Event Y/N;Y;N;N;Y;N;N;N;N;Y;N;N;N;N;Y;N;N;N;N;Sommerpause;Sommerpause;Sommerpause;Sommerpause;Sommerpause;;;;;plus Sommerparty einige mehr (+ca 20-25);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnitt Events;30,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnitt F&F;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;